STT,Thuong hieu,Loai,Noi dung,Nguon (URL),Ngay bao cao
4,"Bệnh viện thẩm mỹ Kangnam","TIN XAU","2 bác sĩ BV Kangnam Sài Gòn bị tước chứng chỉ hành nghề. BV không báo cáo sự cố y khoa sau ca hút mỡ theo quy định (2024).","https://dantri.com.vn/suc-khoe/vu-cap-cuu-sau-hut-mo-bv-kangnam-sai-gon-khong-bao-cao-su-co-theo-quy-dinh-20240703123257000.htm",25/06/2026
4,"Bệnh viện thẩm mỹ Kangnam","TIN XAU","Loạt dấu hỏi tài chính trong hệ sinh thái thẩm mỹ Kangnam.","https://tieudung.vn/loat-dau-hoi-tai-chinh-trong-he-sinh-thai-tham-my-kangnam-71586",25/06/2026
4,"Bệnh viện thẩm mỹ Kangnam","TIN XAU","Viện thẩm mỹ Mega Kangnam Bình Định bị phạt 50 triệu đồng và đình chỉ 24 tháng vì phẫu thuật không phép (2024).","https://baogialai.com.vn/xu-phat-50-trieu-dong-doi-voi-vien-tham-my-mega-kangnam-post346185.html",25/06/2026
4,"Bệnh viện thẩm mỹ Kangnam","BAI VIET MOI","Kangnam khởi động 'Hành trình lột xác mùa 7 - Sống 1 đời rực rỡ' phát sóng HTV7 từ 21/03/2026.","https://hanhtrinhlotxac.vn/",25/06/2026
5,"Thẩm mỹ viện Xuân Hương","TIN XAU","26/05/2025: Sở Y tế Tiền Giang + Công an kiểm tra cơ sở Xuân Hương (277 Trần Ngọc Giao, P.6, Mỹ Tho). Phát hiện sản phẩm tiêm filler/botox không hóa đơn, bơm kim tiêm đã qua dùng. Buộc tạm dừng hoạt động.","https://tuoitre.vn/dung-hoat-dong-co-so-kinh-doanh-tham-my-xuan-huong-o-my-tho-20250526085936039.htm",25/06/2026
5,"Thẩm mỹ viện Xuân Hương","TIN XAU","Tiền Giang buộc tạm dừng hoạt động cơ sở thẩm mỹ Xuân Hương vì nhiều vi phạm nghiêm trọng.","https://cand.com.vn/y-te/tien-giang-buoc-tam-dung-hoat-dong-doi-voi-co-so-tham-my-xuan-huong-i769533",25/06/2026
6,"Viện thẩm mỹ Bally","TIN XAU","Thẩm mỹ Bally vi phạm luật quảng cáo, tự nhận 'số 1 Việt Nam về trẻ hóa da' không có cơ sở pháp lý. (Phát hiện từ 2018, chưa có thông tin xử phạt mới nhất.)","https://thuongtruong.com.vn/news/tham-my-bally-vi-pham-luat-quang-cao-tu-thoi-phong-ve-chat-luong-dich-vu-7508.html",25/06/2026
6,"Viện thẩm mỹ Bally","BAI VIET MOI","Thẩm mỹ Quốc tế Bally đẩy mạnh đầu tư công nghệ hiện đại (bài PR trên VietnamNet).","https://vietnamnet.vn/tham-my-quoc-te-bally-day-manh-dau-tu-cong-nghe-hien-dai-2346026.html",25/06/2026
7,"Viện thẩm mỹ Dr. Hải Lê","BAI VIET MOI","Bệnh viện Tạo hình Thẩm mỹ Dr.Hải Lê chính thức đi vào hoạt động sau khi được Bộ Y tế cấp phép ngày 21/03/2026. Đây là bệnh viện tạo hình thẩm mỹ chuyên biệt mới nhất Việt Nam.","https://tuoitre.vn/benh-vien-tao-hinh-tham-my-dr-hai-le-chinh-thuc-di-vao-hoat-dong-20260324164539872.htm",25/06/2026
7,"Viện thẩm mỹ Dr. Hải Lê","BAI VIET MOI","Bệnh viện Tạo hình Thẩm mỹ Dr.Hải Lê được cấp phép hoạt động.","https://vietnamnet.vn/benh-vien-tao-hinh-tham-my-dr-hai-le-duoc-cap-phep-hoat-dong-2499720.html",25/06/2026
8,"Thẩm mỹ viện Ngọc Dung","TIN XAU","Công ty TNHH Thẩm mỹ Ngọc Dung (chi nhánh Nguyễn Thái Học, Q.1, TP.HCM) bị phạt 94 triệu đồng, tước giấy phép 3 tháng vì hoạt động quá phạm vi chuyên môn, không ghi chép sổ khám bệnh đầy đủ (2022).","https://thuonghieucongluan.com.vn/cong-ty-tnhh-tham-my-ngoc-dung-bi-xu-phat-94-trieu-dong-tuoc-giay-phep-hoat-dong-03-thang-a183289.html",25/06/2026
8,"Thẩm mỹ viện Ngọc Dung","TIN XAU","Thẩm mỹ viện Ngọc Dung và chiêu trò hành nghề thẩm mỹ không phép.","https://taichinhdoanhnghiep.net.vn/tham-my-vien-ngoc-dung-va-chieu-tro-hanh-nghe-tham-my-khong-phep-d20371.html",25/06/2026
9,"Thẩm mỹ viện VietCharm","KHONG CO TIN MOI","Khong phat hien tin xau / bai viet moi dang chu y","",25/06/2026
10,"Thẩm mỹ viện Dr. Thái Hà","BAI VIET MOI","Dr. Thái Hà (8 ngõ 26 Hoàng Cầu, HN) vào danh sách 15 thẩm mỹ viện uy tín Hà Nội 2026. BS Vũ Thái Hà là Trưởng khoa Nghiên cứu & Ứng dụng CNTBG tại BV Da liễu TW.","https://lavenderbychang.com/tham-my-vien-uy-tin-tai-ha-noi/",25/06/2026
11,"Thẩm mỹ viện VITA Clinic","BAI VIET MOI","VITA Clinic mở rộng lên 12 chi nhánh toàn quốc (TP.HCM, Hà Nội, đô thị lớn). Đầu tư công nghệ trẻ hóa sinh học và liệu trình Profhilo.","https://vitaclinic.vn/vi",25/06/2026
12,"Thẩm mỹ Hongkong","KHONG CO TIN MOI","Khong phat hien tin xau / bai viet moi dang chu y","",25/06/2026
13,"Thẩm mỹ Seoul","TIN XAU","Cơ sở thẩm mỹ Seoul ID (Biên Hòa, Đồng Nai) bị xử phạt 87,5 triệu đồng và đình chỉ 18 tháng vì hoạt động KCB không phép và vi phạm kinh doanh mỹ phẩm.","https://daibieunhandan.vn/dong-nai-tham-my-seoul-id-o-bien-hoa-bi-dinh-chi-18-thang-phat-gan-90-trieu-dong-post397440.html",25/06/2026
13,"Thẩm mỹ Seoul","TIN XAU","Thẩm mỹ Quốc tế Seoul Center tiếp tục bị xử phạt 49 triệu đồng vì quảng cáo 'chui' dịch vụ đặc biệt chưa được phê duyệt.","https://thuongtruong.com.vn/news/tham-my-quoc-te-seoul-center-tiep-tuc-bi-xu-phat-vi-vi-pham-ve-quang-cao-128953.html",25/06/2026
14,"Thẩm mỹ Thu Cúc","TIN XAU","Nữ nhân viên BV Thẩm mỹ Thu Cúc chiếm đoạt hơn 2,7 tỷ đồng để chơi cờ bạc, bị tuyên phạt 10 năm tù tội 'Lạm dụng tín nhiệm chiếm đoạt tài sản'.","https://cand.com.vn/ban-tin-113/chiem-doat-hon-2-7-ty-dong-nu-nhan-vien-benh-vien-tham-my-thu-cuc-linh-10-nam-tu-i717154/",25/06/2026
14,"Thẩm mỹ Thu Cúc","BAI VIET MOI","BV Thẩm mỹ Thu Cúc lần 2 được vinh danh 'Đối tác Kim cương' của Motiva (hãng túi nâng ngực Hoa Kỳ). Ưu đãi đặc biệt tháng 6/2026.","https://benhvienthammythucuc.vn/",25/06/2026
